LAMMPS data file  
    
500 atoms   
1 atom types  
    
-1.01879 19.0938 xlo xhi 
-1.01879 19.0938 ylo yhi 
-1.01879 19.0938 zlo zhi 
    
Masses    
    
1 63.55   
    
Atoms # atomic  
    
333 1 2.63006 0.257848 3.04722
311 1 -0.824924 1.53367 -0.365308
142 1 0.140753 0.558302 2.35491
50 1 0.108169 3.14563 1.50098
338 1 1.8686 2.75237 3.03429
252 1 1.65726 1.50725 0.446819
105 1 3.88649 2.17296 1.98888
342 1 3.76415 2.11797 -0.869273
348 1 5.42417 0.0557245 1.03445
57 1 4.88792 -0.69137 3.62586
430 1 8.33587 2.40787 3.98436
191 1 6.34268 2.03783 -0.230985
171 1 9.03329 0.355562 2.42786
386 1 7.81849 3.25052 1.80781
139 1 7.65597 -0.183245 0.210136
352 1 8.89797 2.11044 -0.40118
39 1 6.03398 1.78131 2.86006
204 1 11.721 3.51726 -0.36294
62 1 10.9387 0.989461 0.441689
38 1 11.5597 -0.0201324 2.55158
288 1 13.2634 1.02521 -0.776788
235 1 13.7326 -0.500404 1.23216
71 1 13.9359 0.528189 3.83937
278 1 10.538 3.52342 2.30956
266 1 12.7759 1.92654 1.79652
301 1 14.0257 3.67959 -0.67179
293 1 15.0398 2.76067 2.02336
402 1 17.1168 2.38101 -0.369507
120 1 17.9782 1.49976 1.7259
77 1 15.4052 0.708841 0.106441
10 1 17.5725 3.62209 2.47842
357 1 17.6026 -0.209224 -0.45485
328 1 18.4158 -0.79246 3.38091
427 1 16.1493 0.445927 2.55901
160 1 1.37889 5.15688 -0.798803
175 1 3.08555 4.46015 1.48496
170 1 1.6568 5.8827 3.75019
432 1 -0.355798 4.72634 3.54456
442 1 0.729882 5.9975 1.29006
203 1 3.67084 6.63134 -0.802472
323 1 2.97706 7.20019 1.60621
387 1 -0.724594 7.81404 3.71051
313 1 1.18686 8.79306 2.10337
27 1 5.49724 4.63922 0.532828
15 1 5.90029 7.06134 2.26807
162 1 9.00749 5.06082 0.807586
240 1 8.67812 7.60352 2.21042
229 1 5.05134 4.13902 2.74463
261 1 6.81746 5.13604 3.70538
388 1 11.3736 6.24193 0.371392
33 1 9.31649 7.48116 -0.170649
283 1 13.2538 7.57668 2.01389
232 1 11.0479 6.91998 2.87621
184 1 13.4746 4.80721 2.58389
61 1 13.224 7.23006 -0.435186
58 1 18.8884 7.71654 0.805005
414 1 17.5536 6.1769 2.84696
16 1 15.5758 4.84097 0.865821
322 1 16.2772 8.51084 2.65562
368 1 16.6776 6.78772 -0.480356
228 1 0.0433533 9.87626 0.22265
225 1 -0.296597 12.4624 -0.0893539
336 1 2.69827 9.77118 0.209531
222 1 -0.184247 10.4993 2.80572
208 1 0.843499 13.0161 2.19646
275 1 3.98783 9.86473 3.33358
359 1 3.33719 13.2743 3.30879
37 1 3.82516 13.4715 -0.475448
154 1 7.36325 9.90525 0.192091
422 1 4.68571 9.10056 1.17076
87 1 4.10926 11.6108 1.32186
23 1 6.33663 12.1916 0.656937
135 1 5.8139 12.1713 3.48423
76 1 8.87643 10.444 2.59956
431 1 6.40094 9.68005 2.79117
440 1 8.71206 12.961 1.75975
399 1 9.10001 13.8899 -0.49906
11 1 11.6054 9.35489 3.79203
205 1 13.0022 12.0297 1.54203
280 1 11.3678 9.24361 0.892272
21 1 9.88732 11.2826 0.213671
43 1 11.0252 11.6348 3.32463
376 1 14.0109 9.61792 0.502766
85 1 10.7771 13.8575 2.52273
247 1 11.9224 13.1763 -0.135228
223 1 14.3693 10.1366 3.72308
99 1 16.4228 9.50513 -0.131049
31 1 16.8081 13.2941 3.19979
176 1 14.0801 12.0752 -0.930325
195 1 17.6759 13.6839 0.513846
410 1 17.9796 11.2123 1.09214
417 1 14.1464 12.9835 3.48337
137 1 1.942 19.0731 0.156131
316 1 1.05819 18.3571 2.97383
397 1 -0.246148 14.912 0.601516
93 1 1.03757 15.5608 2.81591
384 1 3.30555 17.7291 2.38392
199 1 2.74626 15.2164 1.04027
226 1 -0.788109 18.7196 0.953652
350 1 3.75564 16.0042 -0.984617
255 1 1.07648 16.8412 0.0593571
406 1 7.9527 18.2198 2.4971
331 1 5.20591 14.2556 1.28195
140 1 6.12289 16.392 -0.677312
220 1 4.10147 18.4556 -0.618657
298 1 5.94341 16.6376 1.76724
475 1 7.71002 15.131 0.847348
54 1 6.6478 14.25 3.0571
251 1 8.42315 17.3665 0.0318205
454 1 11.0952 17.2784 3.60653
158 1 9.62156 16.0386 1.76555
108 1 12.6439 17.4268 0.730063
482 1 10.1163 18.4717 1.51967
483 1 13.2964 14.6049 1.47348
498 1 13.3992 15.0255 -0.906442
218 1 13.3442 17.9221 2.97534
159 1 11.0783 15.5134 -0.190477
115 1 15.35 14.1572 0.21053
32 1 18.9549 14.3614 2.91334
269 1 15.3436 18.8122 -0.87938
254 1 17.7225 16.1756 -0.173674
47 1 18.5665 16.7002 2.40353
428 1 14.8886 16.5501 0.762036
124 1 16.4764 18.1461 1.99285
125 1 15.1465 15.3004 3.31247
317 1 -0.240719 1.89227 4.49554
70 1 2.15492 1.18782 5.80121
106 1 0.788228 -0.178923 7.43723
129 1 0.33832 -0.678297 5.15903
439 1 3.55179 0.0457702 7.67912
307 1 1.34536 2.82161 7.79803
