# pair_style table for LAMMPS; Created by ../../FunUQ_MD/potential.py; Sam Reeve; potential: morse; smoothing: 4th 	# pair_style table for LAMMPS; Created by ../../FunUQ_MD/potential.py; Sam Reeve; potential: buck; smoothing: 4th 
	
morse_1	buck_1
N 8000	N 8000
	
1 0.001 9048.36226824 38053.0778884	1 0.001 -8.11455445055e+19 -1.27380673921e+24
2 0.002 9010.38891645 37893.7369988	2 0.002 -1.26789583983e+18 -9.95159095165e+21
3 0.003 8972.57457209 37735.0625583	3 0.003 -1.11310182192e+17 -5.824419488e+20
4 0.004 8934.91857011 37577.0517809	4 0.004 -1.98107694609e+16 -7.77464257717e+19
5 0.005 8897.42024823 37419.7018927	5 0.005 -5.19326082755e+15 -1.63045674914e+19
6 0.006 8860.07894695 37263.010131	6 0.006 -1.73920801127e+15 -4.55029445404e+18
7 0.007 8822.89400951 37106.9737449	7 0.007 -6.89714977098e+14 -1.54671719498e+18
8 0.008 8785.86478192 36951.5899948	8 0.008 -3.09540044901e+14 -6.07388022961e+17
9 0.009 8748.99061289 36796.8561527	9 0.009 -1.52686476095e+14 -2.66316150688e+17
10 0.01 8712.27085388 36642.7695019	10 0.01 -8.11436413747e+13 -1.27377877635e+17
11 0.011 8675.70485905 36489.3273371	11 0.011 -4.58033502797e+13 -6.53648319369e+16
12 0.012 8639.29198527 36336.5269644	12 0.012 -2.7174699024e+13 -3.55486537526e+16
13 0.013 8603.03159209 36184.3657009	13 0.013 -1.68109000724e+13 -2.02995938867e+16
14 0.014 8566.92304173 36032.8408752	14 0.014 -1.07765990961e+13 -1.20835209675e+16
15 0.015 8530.96569908 35881.9498268	15 0.015 -7.12362822387e+12 -7.4550381398e+15
16 0.016 8495.1589317 35731.6899066	16 0.016 -4.83646180736e+12 -4.7451258677e+15
17 0.017 8459.50210977 35582.0584763	17 0.017 -3.36165381379e+12 -3.10415999359e+15
18 0.018 8423.99460612 35433.0529087	18 0.018 -2.38566984409e+12 -2.08054896936e+15
19 0.019 8388.6357962 35284.6705877	19 0.019 -1.72473596859e+12 -1.42498141807e+15
20 0.02 8353.42505807 35136.9089081	20 0.02 -1.26783607646e+12 -9.95115216707e+14
21 0.021 8318.36177237 34989.7652755	21 0.021 -9.460762996e+11 -7.07208060637e+14
22 0.022 8283.44532236 34843.2371063	22 0.022 -7.15656626391e+11 -5.10648930743e+14
23 0.023 8248.67509386 34697.3218278	23 0.023 -5.48116170016e+11 -3.7409789725e+14
24 0.024 8214.05047526 34552.0168781	24 0.024 -4.24591237566e+11 -2.77715649317e+14
25 0.025 8179.57085751 34407.3197059	25 0.025 -3.32351214825e+11 -2.08688207706e+14
26 0.026 8145.23563411 34263.2277706	26 0.026 -2.62661292983e+11 -1.58585493556e+14
27 0.027 8111.04420107 34119.7385422	27 0.027 -2.09436524069e+11 -1.21766961223e+14
28 0.028 8076.99595696 33976.8495012	28 0.028 -1.68378120213e+11 -9.43992448454e+13
29 0.029 8043.09030284 33834.5581388	29 0.029 -1.36409523874e+11 -7.38393178247e+13
30 0.03 8009.32664229 33692.8619566	30 0.03 -1.11302260543e+11 -5.82403261832e+13
31 0.031 7975.70438137 33551.7584666	31 0.031 -91423991819.9 -4.62955922823e+13
32 0.032 7942.22292862 33411.2451913	32 0.032 -75566498526.4 -3.7069828099e+13
33 0.033 7908.88169507 33271.3196634	33 0.033 -62826714940.3 -2.98862729986e+13
34 0.034 7875.68009419 33131.979426	34 0.034 -52523457540.6 -2.42502285604e+13
35 0.035 7842.61754193 32993.2220325	35 0.035 -44138478365.1 -1.97966115449e+13
36 0.036 7809.69345666 32855.0450464	36 0.036 -37274294090.9 -1.62535631041e+13
37 0.037 7776.90725918 32717.4460416	37 0.037 -31623715265.0 -1.34169231765e+13
38 0.038 7744.25837272 32580.4226019	38 0.038 -26947622403.0 -1.11321420318e+13
39 0.039 7711.74622292 32443.9723214	39 0.039 -23058613081.0 -9.28133778029e+12
40 0.04 7679.37023783 32308.0928041	40 0.04 -19808868111.3 -7.77395101935e+12
41 0.041 7647.12984786 32172.781664	41 0.041 -17081076779.0 -6.53993832806e+12
42 0.042 7615.02448583 32038.0365252	42 0.042 -14781598827.8 -5.52477412345e+12
43 0.043 7583.05358693 31903.8550217	43 0.043 -12835275060.2 -4.68575178556e+12
44 0.044 7551.21658869 31770.2347973	44 0.044 -11181462325.7 -3.98922599829e+12
45 0.045 7519.51293102 31637.1735058	45 0.045 -9770984425.52 -3.40854228783e+12
46 0.046 7487.94205615 31504.6688106	46 0.046 -8563772911.08 -2.92247205264e+12
47 0.047 7456.50340865 31372.7183849	47 0.047 -7527030948.99 -2.51402207938e+12
48 0.048 7425.1964354 31241.3199119	48 0.048 -6633796258.39 -2.1695233815e+12
49 0.049 7394.02058561 31110.4710841	49 0.049 -5861810347.82 -1.87792973605e+12
50 0.05 7362.97531078 30980.1696039	50 0.05 -5192624195.16 -1.63027462903e+12
